date,home_team,away_team,home_team_full,away_team_full,home_odds_dec,draw_odds_dec,away_odds_dec,home_implied,away_implied
2025-10-21,TOR,NJD,Toronto Maple Leafs,New Jersey Devils,2.2,4.0,2.5,41.2,36.2
2025-10-21,WSH,SEA,Washington Capitals,Seattle Kraken,1.5,4.75,4.2,59.8,21.3
2025-10-21,PIT,VAN,Pittsburgh Penguins,Vancouver Canucks,2.3,4.0,2.38,39.3,38.0
2025-10-21,OTT,EDM,Ottawa Senators,Edmonton Oilers,2.6,4.0,2.15,35.0,42.3
2025-10-21,BOS,FLA,Boston Bruins,Florida Panthers,2.88,4.0,1.95,31.3,46.2
2025-10-21,STL,LAK,St. Louis Blues,Los Angeles Kings,2.1,4.0,2.7,43.4,33.8
2025-10-21,NSH,ANA,Nashville Predators,Anaheim Ducks,2.05,4.0,2.7,44.0,33.4
2025-10-21,DAL,CBJ,Dallas Stars,Columbus Blue Jackets,1.8,4.4,3.2,50.7,28.5
2025-10-22,BUF,DET,Buffalo Sabres,Detroit Red Wings,2.25,4.0,2.45,40.3,37.0
2025-10-22,CGY,MTL,Calgary Flames,Montreal Canadiens,2.45,4.0,2.25,37.0,40.3
2025-10-22,NJD,MIN,New Jersey Devils,Minnesota Wild,2.1,4.0,2.6,42.9,34.6
2025-10-23,TBL,CHI,Tampa Bay Lightning,Chicago Blackhawks,1.5,5.0,4.2,60.3,21.6
2025-10-23,OTT,PHI,Ottawa Senators,Philadelphia Flyers,1.95,3.9,2.9,46.0,31.0
2025-10-23,FLA,PIT,Florida Panthers,Pittsburgh Penguins,1.75,4.0,3.4,51.2,26.4
2025-10-23,NYR,SJS,NY Rangers,San Jose Sharks,1.53,4.4,4.5,59.3,20.1
2025-10-23,NYI,DET,NY Islanders,Detroit Red Wings,2.15,4.0,2.5,41.7,35.9
2025-10-23,BOS,ANA,Boston Bruins,Anaheim Ducks,2.3,3.9,2.4,39.2,37.6
2025-10-23,NSH,VAN,Nashville Predators,Vancouver Canucks,2.25,4.0,2.45,40.3,37.0
2025-10-23,WPG,SEA,Winnipeg Jets,Seattle Kraken,1.65,4.4,3.7,54.9,24.5
2025-10-23,STL,UTA,St. Louis Blues,Utah Mammoth,2.3,4.0,2.3,38.8,38.8
2025-10-23,DAL,LAK,Dallas Stars,Los Angeles Kings,2.0,4.0,2.8,45.2,32.3
2025-10-23,COL,CAR,Colorado Avalanche,Carolina Hurricanes,2.05,4.0,2.7,44.0,33.4
2025-10-23,EDM,MTL,Edmonton Oilers,Montreal Canadiens,1.6,4.6,3.8,56.5,23.8
2025-10-24,TOR,BUF,Toronto Maple Leafs,Buffalo Sabres,2.0,4.2,2.75,45.4,33.0
2025-10-24,TBL,ANA,Tampa Bay Lightning,Anaheim Ducks,1.75,4.5,3.25,51.9,27.9
2025-10-24,PHI,NYI,Philadelphia Flyers,NY Islanders,2.15,4.0,2.6,42.3,35.0
2025-10-24,BOS,COL,Boston Bruins,Colorado Avalanche,3.3,4.2,1.75,27.2,51.4
2025-10-24,BUF,TOR,Buffalo Sabres,Toronto Maple Leafs,2.5,4.0,2.2,36.2,41.2
2025-10-24,CBJ,WSH,Columbus Blue Jackets,Washington Capitals,2.4,3.9,2.3,37.6,39.2
2025-10-24,NJD,SJS,New Jersey Devils,San Jose Sharks,1.4,4.75,5.0,63.5,17.8
2025-10-24,WPG,CGY,Winnipeg Jets,Calgary Flames,2.0,4.0,2.75,44.9,32.7
2025-10-25,WPG,UTA,Winnipeg Jets,Utah Mammoth,1.85,4.0,3.0,48.1,29.7
2025-10-25,MIN,SJS,Minnesota Wild,San Jose Sharks,1.67,4.5,3.6,54.5,25.3
2025-10-25,TBL,VGK,Tampa Bay Lightning,Vegas Golden Knights,2.0,4.2,2.75,45.4,33.0
2025-10-25,NJD,COL,New Jersey Devils,Colorado Avalanche,2.1,4.0,2.62,43.0,34.5
2025-10-25,SEA,EDM,Seattle Kraken,Edmonton Oilers,3.1,4.2,1.85,29.3,49.1
2025-10-25,NSH,LAK,Nashville Predators,Los Angeles Kings,2.8,3.8,2.0,31.9,44.6
2025-10-25,DAL,CAR,Dallas Stars,Carolina Hurricanes,2.2,3.9,2.5,40.9,36.0
2025-10-25,WSH,OTT,Washington Capitals,Ottawa Senators,2.1,3.8,2.62,42.5,34.0
2025-10-25,VAN,MTL,Vancouver Canucks,Montreal Canadiens,2.25,4.0,2.45,40.3,37.0
2025-10-25,DET,STL,Detroit Red Wings,St. Louis Blues,2.3,4.0,2.38,39.3,38.0
2025-10-25,MIN,UTA,Minnesota Wild,Utah Mammoth,2.25,4.0,2.45,40.3,37.0
2025-10-25,FLA,VGK,Florida Panthers,Vegas Golden Knights,2.4,4.0,2.25,37.5,40.0
2025-10-25,PIT,CBJ,Pittsburgh Penguins,Columbus Blue Jackets,2.15,3.9,2.5,41.5,35.7
2025-10-26,CGY,NYR,Calgary Flames,NY Rangers,2.5,3.8,2.2,35.8,40.7
2025-10-26,NSH,DAL,Nashville Predators,Dallas Stars,2.75,3.9,2.0,32.5,44.6
2025-10-26,CHI,LAK,Chicago Blackhawks,Los Angeles Kings,2.9,4.2,1.91,31.2,47.3
2025-10-26,VAN,EDM,Vancouver Canucks,Edmonton Oilers,3.1,4.0,1.85,29.0,48.6
2025-10-27,OTT,BOS,Ottawa Senators,Boston Bruins,1.85,4.33,3.0,48.9,30.2
2025-10-27,BUF,CBJ,Buffalo Sabres,Columbus Blue Jackets,2.2,4.2,2.3,40.3,38.6
2025-10-27,CAR,VGK,Carolina Hurricanes,Vegas Golden Knights,1.95,4.0,2.8,45.8,31.9
2025-10-27,PIT,STL,Pittsburgh Penguins,St. Louis Blues,2.38,3.9,2.3,37.8,39.1
2025-10-27,PHI,PIT,Philadelphia Flyers,Pittsburgh Penguins,1.85,4.2,3.0,48.6,30.0
2025-10-27,TOR,CGY,Toronto Maple Leafs,Calgary Flames,1.85,4.2,3.1,49.1,29.3
2025-10-28,SJS,LAK,San Jose Sharks,Los Angeles Kings,3.6,4.0,1.7,24.9,52.7
2025-10-28,SEA,MTL,Seattle Kraken,Montreal Canadiens,2.4,4.0,2.25,37.5,40.0
2025-10-28,VAN,NYR,Vancouver Canucks,NY Rangers,2.5,4.0,2.2,36.2,41.2
